Id Unico,Genero,Repetidor,Especialidad,Turno,CÁL,Faltas_CÁL,ING,Faltas_ING,FÍS,Faltas_FÍS,CIE,Faltas_CIE,SIN,Faltas_SIN,OPE,Faltas_OPE,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
f637f4ce-2010-40f7-94fe-634621702262,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,7,0,8,0,8,0,9,0,9,2,10,0,AC,0,NA,0,AC,0,,
f1fc65d7-1c22-4880-b1c1-d631de10707c,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,5,7,6,7,2,5,0,9,6,9,3,AC,0,NA,0,AC,0,,
a1e9331e-73e9-4746-9a08-86ab198cbad6,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,0,8,0,6,0,10,0,9,0,8,0,AC,0,AC,0,AC,0,,
70a3ddc1-9429-4d9c-8fee-7671b263bcce,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,0,8,3,8,0,6,0,9,4,10,2,AC,0,NA,0,AC,0,,
e03268ca-cca1-436c-835b-393dd33c161c,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,7,2,8,3,9,0,7,0,10,0,9,4,AC,0,AC,0,AC,0,,
eb028508-15e1-408c-b866-4d2dd1bcf272,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,7,0,7,0,8,2,8,0,8,0,9,0,AC,0,AC,0,AC,0,,
373142e2-5d26-4dd6-8262-e09cb6033bf5,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,3,7,6,7,3,7,0,8,6,10,3,AC,0,NA,0,AC,0,,
a7ef052f-8417-42fd-9324-1c0edb4b3301,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,6,6,8,5,4,NP,14,8,4,5,2,AC,0,NA,0,AC,0,,
e290d347-4c8b-4e7e-9630-5c167e50f750,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,0,9,0,9,0,10,0,9,0,10,0,AC,0,AC,0,AC,0,,
97d0536c-2b40-4026-9a6b-a08061f4121d,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,6,4,8,1,7,0,9,0,9,2,AC,0,AC,0,NA,0,,
2b746ac3-06ef-4973-b3da-f3bc9c7109d9,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,2,7,0,9,0,6,0,8,0,8,4,AC,0,AC,0,AC,0,,
a53eca22-7fca-4893-89da-031b0cf3576e,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,6,8,4,7,2,6,0,7,8,9,9,AC,0,AC,0,AC,0,,
caae90ca-f553-4f3c-ab59-0e7edfb527e5,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,9,0,7,0,9,0,8,0,8,2,10,2,AC,0,AC,0,AC,0,,
939d5627-455e-4d4a-af3d-1ce168dca15f,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,0,7,3,8,1,7,0,9,0,10,0,AC,0,AC,0,AC,0,,
2c88f992-1fb3-4cce-aa37-02e3f4446042,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,4,7,3,7,4,8,0,9,2,9,0,AC,0,NA,0,AC,0,,
9bdefb65-0cce-40db-ab2b-9115a9d28363,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,3,9,5,8,2,9,0,9,0,8,5,AC,0,NA,0,AC,0,,
1a70b6c7-efac-4f0d-978d-a52e38becc30,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,2,7,4,6,2,6,0,9,2,10,6,AC,0,NA,0,AC,0,,
767137cf-c577-460b-9f2d-e14d018d2f0d,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,7,0,8,3,9,0,9,0,8,0,9,0,AC,0,AC,0,AC,0,,
fbc528c3-586e-4afd-a3ea-79cd8fb295d9,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,0,6,5,5,4,8,0,8,2,9,0,AC,0,AC,0,NP,0,,
d591248f-e8ee-47c2-81f4-58065f12e6d3,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,3,6,2,5,2,6,0,8,2,9,2,AC,0,NA,0,AC,0,,
a7778666-28ae-4d5c-a564-cfc2a19f6457,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,0,8,2,9,0,10,0,9,0,9,0,AC,0,NA,0,AC,0,,
0f434f5c-c684-4893-9683-d57a0d646431,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,9,2,8,0,9,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
445a99e6-15a6-41a7-aabf-487e91a65a16,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,3,6,5,6,2,5,0,5,6,6,2,AC,0,NA,0,AC,0,,
b86fb3f5-6c20-4a92-8b6a-bdff3dfefdee,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,7,0,9,0,7,0,9,6,9,0,AC,0,NA,0,AC,0,,
34f6f0f4-0553-4e30-af9c-8a4dae03d5dc,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,0,7,1,7,1,7,0,8,0,10,0,AC,0,AC,0,AC,0,,
2bd73c0b-f947-405d-b48d-c4dc79698bf4,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,4,8,1,8,0,7,0,9,0,8,2,AC,0,NA,0,AC,0,,
bc6e65b9-d1e3-4e89-8a9f-66c9f9589fee,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,0,8,0,8,0,8,0,9,0,9,0,AC,0,AC,0,AC,0,,
