Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,QUÍ,Faltas_QUÍ,LEC,Faltas_LEC,ELA,Faltas_ELA,OPE,Faltas_OPE,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
66fa7b2a-6c46-427c-84d4-11314f8f3b3b,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,2,5,2,5,2,10,0,5,5,5,6,NA,0,NA,0,AC,0,,
1b4b9d66-44b6-4779-b595-f5ec6370b7c9,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,,,,,,,,,,,,,,,,,,
9def66e5-f45a-40e9-bf2b-b5245db4810e,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,10,5,6,5,8,9,0,5,13,5,15,NA,0,NA,0,AC,0,,
7d813bb2-eda7-4ce7-94ce-6e04c1a99442,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,2,5,0,5,0,7,0,5,4,5,5,AC,0,NA,0,AC,0,,
4c5cea03-5a79-4c2c-aa16-c0d3717c783e,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,12,5,9,5,10,7,0,5,23,5,23,NA,0,NA,0,NA,0,,
abc5ce3c-6c8f-4481-941e-c1d8c59d8fba,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,0,6,3,5,2,7,0,5,10,7,5,AC,0,NA,0,AC,0,,
48f1672b-3155-4e7c-b916-abdce49093ed,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,0,9,3,8,2,8,0,6,9,5,9,AC,0,NA,0,AC,0,,
6a0a9dfd-7527-4ebd-97c5-9fae84b6ad82,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,10,5,0,5,10,,,5,10,5,4,,,,,,,,
a48b7ab2-143f-4be8-95af-b7cfb0478bc9,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,7,4,6,8,5,10,7,0,5,16,5,5,AC,0,NA,0,NA,0,,
4222a0f0-2e73-4b7e-baed-483e1210feda,F,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,9,4,,,,,,,,,,,,,,,,
9f726656-4906-4e34-8c78-897889c9cee8,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,6,5,8,5,2,8,0,8,12,5,6,NA,0,NA,0,NA,0,,
420f5505-ff48-4b15-a0de-83aab30cfd61,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,6,0,5,2,7,0,5,0,7,2,AC,0,AC,0,AC,0,,
351fce36-16a0-426d-ae57-b1d187a25d8a,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,8,5,4,5,6,7,0,5,16,5,23,AC,0,NA,0,NA,0,,
c8419713-3063-40b8-a485-1aef7f6844d6,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,2,8,0,5,2,7,0,7,17,6,9,AC,0,NA,0,AC,0,,
eea28705-2ee7-4e5d-96c2-d55d437720eb,F,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,5,10,8,2,,,,,,,,,,,,,,
058a4fdd-ac89-43a6-b224-1aa873e609fc,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,2,6,2,5,0,7,0,5,3,5,4,AC,0,NA,0,AC,0,,
a32f32ff-29dc-4589-9eb4-d83fb9035010,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,7,4,,,,,,,,,,,,,,,,,,
6b1f038f-3a37-4fd8-a94f-9dbe07e9c75c,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,4,5,8,5,6,7,0,5,2,5,20,NA,0,NA,0,AC,0,,
