Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,QUÍ,Faltas_QUÍ,LEC,Faltas_LEC,INS,Faltas_INS,DIA,Faltas_DIA,ELA,Faltas_ELA,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
e928ef9c-5823-4f49-b94d-90b386321b7c,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,7,1,6,6,6,4,9,6,9,0,8,4,AC,0,AC,0,NA,0,,
26f91917-a6c0-4684-a1a0-588682fd6253,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,3,5,3,6,6,5,3,5,1,8,0,8,6,AC,0,NA,0,NA,0,,
00ed1b3b-936c-4368-8575-bc284b2f3002,M,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,,,NP,11,,,,,,,,,,,,,,,,,,
eb6973b7-4dd2-493f-ae17-6e1b4b30f241,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,5,0,5,0,5,0,5,0,5,0,5,0,,0,,0,,0,,
0003066f-409f-409d-bc18-43ecfb9eefa8,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,0,9,1,8,3,9,0,9,2,9,0,10,0,AC,0,AC,0,NA,0,,
c6645f7b-448b-4992-9a2e-b6deafdcc5b6,F,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,,,,,,,,,,,8,0,,,,,,,,,,
83dbf972-f5a7-4463-97e7-43223a192784,F,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,,,7,3,,,,,,,,,,,,,,,,,,
76e9d95b-e3e1-4710-b17d-eeb5bf758bfb,M,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,,,5,8,,,,,,,,,,,,,,,,,,
aa1718f1-8356-46e4-81a7-e73568988cc3,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,4,,,,,,,,,,,,,,,,,,,,
f6d00f8f-66f8-453c-b9bb-935c6f1d52f4,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,,,,,,,,,9,0,10,2,10,4,,,,,,,,
5cce485c-dac4-4e8d-9af2-b6226df86d4c,M,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,,,7,3,,,,,,,,,,,,,,,,,,
22e87dd8-3a81-4745-bbf2-a0fc45fa3f2d,M,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,10,,,,,,,,,,,,,,,,,,,,
8e4d9414-0771-4203-88af-718981c545d9,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,0,9,2,7,1,7,0,8,0,9,2,10,1,AC,0,AC,0,NA,0,,
f36a0bee-90ca-419e-915d-582ffdc91192,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,2,6,3,5,2,8,2,8,3,9,0,8,5,AC,0,NA,0,NA,0,,
28bdc1f4-7fec-47dc-b8cd-071450ebe2ab,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,4,7,1,7,0,8,0,7,2,9,3,10,5,NA,0,NA,0,AC,0,,
