Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,BIO,Faltas_BIO,ETI,Faltas_ETI,APL,Faltas_APL,ASI,Faltas_ASI,APL0,Faltas_APL0,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
ff7d32d5-91d3-40ee-b93e-f335744af1fe,F,No,PUERICULTURA,MATUTINO,5,2,5,1,6,4,7,2,9,1,5,10,7,2,AC,0,AC,0,AC,0,AC,0,,
bddadcc2-375d-40a6-87c3-28793d528ee9,F,No,PUERICULTURA,MATUTINO,5,0,5,1,5,0,6,0,9,0,5,6,10,0,NA,0,AC,0,AC,0,AC,0,,
66dc90f3-7888-4d24-b4cc-656551f1b184,F,No,PUERICULTURA,MATUTINO,5,0,5,1,8,0,7,0,9,0,5,5,7,0,AC,0,AC,0,AC,0,AC,0,,
86bed5a8-508c-4005-b075-f11cea6eee0e,F,Si,PUERICULTURA,MATUTINO,5,2,,,,,5,0,,,,,,,,,,,,,,,,
cef01a83-638f-426c-ae2e-6977b2b57319,F,No,PUERICULTURA,MATUTINO,8,0,7,0,10,0,9,2,9,0,8,2,10,0,AC,0,AC,0,AC,0,AC,0,,
95280563-bf63-4b40-aeae-6e8ab7b1c14d,F,No,PUERICULTURA,MATUTINO,5,0,6,0,5,2,5,4,9,2,5,2,7,0,AC,0,AC,0,AC,0,AC,0,,
f2b2da81-75bb-450d-9cb8-0d18e7eb352a,F,No,PUERICULTURA,MATUTINO,5,10,5,2,5,6,5,4,9,2,5,8,7,4,NA,0,AC,0,AC,0,NA,0,,
18fa483f-7484-46a0-94d3-0a733f5c1d35,F,No,PUERICULTURA,MATUTINO,5,0,6,1,8,2,9,0,10,0,7,2,8,0,AC,0,AC,0,AC,0,AC,0,,
dc61243d-e9b0-4fcc-b73d-27327b138ef8,F,No,PUERICULTURA,MATUTINO,5,0,5,0,8,0,5,2,9,1,8,2,7,3,NA,0,AC,0,AC,0,AC,0,,
c1dfe9f2-a69a-4683-9c5e-ebf804110dc3,F,No,PUERICULTURA,MATUTINO,6,0,5,0,7,2,9,0,10,1,7,3,7,0,AC,0,AC,0,AC,0,AC,0,,
