Id Unico,Genero,Repetidor,Especialidad,Turno,CÁL,Faltas_CÁL,ING,Faltas_ING,FÍS,Faltas_FÍS,CIE,Faltas_CIE,ASE,Faltas_ASE,MID,Faltas_MID,MEJ,Faltas_MEJ,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
4c13e64f-002f-4ae4-bc7d-d4d15521a824,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,1,9,4,10,2,7,2,9,0,8,6,8,2,AC,0,AC,0,AC,0,,
0c4636bf-962e-42fd-aac8-f398b5a88637,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,9,7,9,6,12,5,0,8,3,5,11,5,3,AC,0,NA,0,AC,0,,
21312013-1a09-42b4-8d42-948c9aa3da49,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,1,10,2,8,0,8,2,9,2,7,1,7,0,AC,0,AC,0,AC,0,,
08a058b4-176b-4e66-992c-cd6a40ee4e41,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,0,10,1,9,0,8,0,8,1,8,1,8,0,AC,0,AC,0,AC,0,,
446b2f3f-70e6-461a-88f0-37ad932a4482,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,9,0,9,2,9,0,8,0,9,2,8,2,8,0,AC,0,AC,0,AC,0,,
3ee4ca14-5ae2-4dc3-acf9-62f81275f598,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,1,8,6,8,0,6,0,9,3,7,5,5,0,AC,0,AC,0,AC,0,,
089e087f-23eb-4003-8979-3ed1a56429d9,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,1,10,0,8,0,10,0,10,0,10,1,10,0,AC,0,AC,0,AC,0,,
5b88da62-0927-4984-989b-584c654c65e2,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,8,9,12,9,4,7,0,8,8,8,7,5,2,AC,0,NA,0,NA,0,,
10e19257-eb13-4ad8-90c1-b98434d0cf3c,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,5,9,4,7,4,6,2,9,2,7,9,8,3,AC,0,AC,0,AC,0,,
fb41bb9b-231b-4bf1-a2d2-5c83ae9ccab9,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,5,7,9,9,2,5,4,8,4,8,4,8,6,AC,0,AC,0,AC,0,,
27a55ecf-3a32-4c1f-8b10-23e9491581c7,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,0,10,1,9,0,9,0,8,1,9,2,9,0,AC,0,AC,0,AC,0,,
d4292f5b-2b2a-4abd-a411-c7fe4e06b368,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,21,5,14,5,12,NP,24,5,11,5,14,NP,9,NA,0,NA,0,NA,0,,
