Id Unico,Genero,Repetidor,Especialidad,Turno,CÁL,Faltas_CÁL,ING,Faltas_ING,FÍS,Faltas_FÍS,ECO,Faltas_ECO,CON,Faltas_CON,ELA,Faltas_ELA,MAN,Faltas_MAN,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TAL3,Faltas_TAL3,TAL4,Faltas_TAL4,TUT,Faltas_TUT
26f91917-a6c0-4684-a1a0-588682fd6253,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,7,3,8,0,5,2,5,3,5,20,8,0,AC,0,AC,0,AC,0,NA,0,AC,0,NA,0,,
0003066f-409f-409d-bc18-43ecfb9eefa8,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,10,0,10,0,10,0,10,0,10,1,9,4,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
bf603bca-4630-426a-9cee-6129ce9b9bc4,M,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,,,,,,,,,NP,15,5,28,NP,26,,,,,,,,,,,,,,
014fa520-d946-4d81-8580-c40f8b057d1f,F,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,,,,,7,2,,,,,,,,,,,,,,,,,,,,,,
8e4d9414-0771-4203-88af-718981c545d9,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,0,5,1,9,2,9,2,10,1,10,2,10,0,AC,0,NA,0,NA,0,NA,0,NA,0,AC,0,,
f36a0bee-90ca-419e-915d-582ffdc91192,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,6,3,5,3,5,2,10,1,8,8,5,0,NA,0,AC,0,AC,0,NA,0,NA,0,NA,0,,
28bdc1f4-7fec-47dc-b8cd-071450ebe2ab,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,0,7,0,8,0,7,0,9,0,8,5,8,0,NA,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
7fc8a892-7ead-4500-916b-b01a98cfe073,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,0,9,2,8,2,7,0,9,0,9,8,8,6,NA,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
fef8bb74-593b-4541-a0e7-f4c6484f9c45,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,6,3,5,5,7,1,9,3,5,13,5,16,NA,0,AC,0,NA,0,AC,0,AC,0,AC,0,,
1c8e6604-7fae-451d-8e50-5aafbf63dd82,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,5,0,5,0,5,0,5,0,5,0,5,0,,0,,0,,0,,0,,0,,0,,
41d4bf49-3c3f-4e58-ae52-1f496a6d688a,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,10,0,10,0,10,0,10,0,10,0,9,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
19b2bf9a-95a2-4a99-8884-8b59b15727dc,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,8,0,7,2,7,0,10,1,5,10,10,0,AC,0,AC,0,NA,0,AC,0,AC,0,AC,0,,
08b1e6db-3c8a-44cb-837e-493d60e3cae3,F,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,
ef00e109-d4ab-464c-809a-bd1b9cf385d6,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,9,1,6,0,7,0,5,4,5,17,8,0,NA,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
ea6132b0-250f-4ea4-ae7c-de52d7eb26d4,M,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,,,NP,14,,,,,,,,,,,,,,,,,,,,,,,,
7cb86065-542e-4289-9d2b-be4f69553fea,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,0,6,1,9,0,7,0,10,2,8,3,10,0,NA,0,AC,0,NA,0,NA,0,NA,0,AC,0,,
fbd4fead-ac54-4a88-8449-4748e04c0d02,F,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,
9dadb561-9c36-4ceb-882e-beb7409efb29,F,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,,,NP,14,,,,,,,,,,,,,,,,,,,,,,,,
95d51c03-3fbe-4185-8436-3375d78ed34e,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,10,0,10,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
3acf65ef-37a3-474e-9eaa-c3605b12c120,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,0,7,1,10,0,9,0,10,1,9,0,10,2,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
52de0ea0-2a55-4f96-9388-9912b66c1132,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,0,7,1,6,1,10,0,10,0,8,5,10,4,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
723a76f5-2d47-4c02-a3c7-cdd0e2598ed6,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,5,1,7,1,5,0,5,4,8,8,5,14,NA,0,NA,0,AC,0,NA,0,NA,0,AC,0,,
b0641061-a06e-472b-8352-c0dad3ce3eb8,F,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
28f7d25c-748d-4d30-beb7-dcaf51f407fa,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,10,0,10,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
643dc2fb-f682-4214-a2ec-726505e9b0aa,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,0,9,0,8,1,10,0,10,0,8,10,9,10,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
01fa1197-c13b-47c0-aed6-6021894e3c8e,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,7,1,7,1,7,0,5,6,5,19,9,8,AC,0,AC,0,AC,0,NA,0,AC,0,AC,0,,
233a91c0-2f6e-461a-9333-e0741b9ec23b,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,7,2,7,1,7,0,5,6,5,16,9,0,NA,0,AC,0,NA,0,NA,0,NA,0,NA,0,,
67a12629-8167-4566-91aa-729114f63d27,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,9,3,7,1,7,0,9,1,8,2,8,2,AC,0,AC,0,NA,0,AC,0,AC,0,AC,0,,
13b2629a-f7a7-47f8-8890-6663721b2f20,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,8,4,8,2,5,2,10,6,8,3,5,22,NA,0,NA,0,NA,0,NA,0,NA,0,AC,0,,
f687333e-92d5-4fd9-aec0-c3e905743a0e,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,0,8,3,5,1,7,0,9,0,7,3,8,0,AC,0,AC,0,NA,0,NA,0,NA,0,AC,0,,
30ecad9c-1b40-4675-b4a4-07582bb67002,F,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,
9c12e891-8e3e-4d2e-8ad4-408f572baca2,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,5,0,5,0,5,0,5,0,5,0,5,0,,0,,0,,0,,0,,0,,0,,
f5598419-a983-4f2d-8f10-aaf35457e7c7,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,7,1,7,1,7,0,5,6,9,15,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,NA,0,,
812a45ab-0ad6-4aa4-8857-24674d1398d0,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,9,3,8,1,7,0,5,6,7,12,9,8,AC,0,AC,0,AC,0,NA,0,AC,0,AC,0,,
8671bf78-9bbe-43b3-a1cf-ee80452f915f,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,0,7,2,5,2,9,2,7,2,9,4,8,0,NA,0,AC,0,NA,0,AC,0,NA,0,AC,0,,
