Id Unico,Genero,Repetidor,Especialidad,Turno,PRO,Faltas_PRO,TEM,Faltas_TEM,ELA,Faltas_ELA,ELA0,Faltas_ELA0,ELA1,Faltas_ELA1,TEM0,Faltas_TEM0,DIB,Faltas_DIB,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TUT,Faltas_TUT
e26da54f-55f2-4121-b94f-d0a79ab3ae4a,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,10,0,10,0,10,0,9,0,9,0,8,0,10,0,AC,0,AC,0,,
545efb54-87bd-4fac-9c75-196ba51adbb2,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,10,2,10,0,10,0,10,0,9,3,9,0,10,0,AC,0,AC,0,,
54dd07ed-d8b5-4eb6-93d0-552eb9ef0451,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,4,5,3,8,0,10,0,7,0,6,0,10,0,AC,0,AC,0,,
54a5dde9-7413-4912-97ea-6678f2591da6,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,9,2,5,0,9,0,9,0,9,0,7,0,10,0,AC,0,AC,0,,
69bc098d-6919-477a-9a42-7276dd8c4e92,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,10,0,10,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,,
c6645f7b-448b-4992-9a2e-b6deafdcc5b6,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,10,0,10,2,8,2,9,0,9,0,8,0,10,0,AC,0,NA,0,,
9637cb98-9d05-40d4-a86c-a544ffa9e963,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,10,0,9,0,9,0,9,0,9,0,8,0,10,1,AC,0,AC,0,,
e70e0e4d-d37b-42f9-a347-38829b827152,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,0,7,1,9,0,10,0,9,0,9,0,10,0,AC,0,AC,0,,
aa1718f1-8356-46e4-81a7-e73568988cc3,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,10,0,9,0,8,0,10,0,10,0,8,0,10,0,AC,0,AC,0,,
f6d00f8f-66f8-453c-b9bb-935c6f1d52f4,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,0,9,0,9,0,10,0,9,0,9,0,10,0,AC,0,NA,0,,
4f0dcd14-7489-4039-a9bd-14729f745961,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,10,0,7,2,9,0,10,0,9,2,9,0,10,0,AC,0,NA,0,,
007ccae1-d594-48d2-9387-f418aec9e0b9,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,10,0,10,0,8,3,10,0,8,0,8,2,10,0,AC,0,AC,0,,
4a3a8684-ce61-42f4-9bf5-50d5fbd1b497,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,10,8,5,2,7,2,9,0,9,0,8,0,10,1,AC,0,NA,0,,
ae428089-c506-4272-94ed-563329e16810,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,0,10,0,9,0,10,0,9,0,8,0,10,0,AC,0,AC,0,,
8552fbfb-8cb4-42cc-9efb-295c8ae641e4,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,10,2,9,0,9,0,10,0,9,0,9,0,10,1,AC,0,AC,0,,
1af6f4b1-d91f-44eb-a81d-7aa7b599d84f,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,0,5,2,9,2,9,0,9,0,8,0,8,2,AC,0,NA,0,,
056a7884-7f65-4431-838a-7259fe2e7537,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,10,0,10,0,10,0,9,0,9,0,10,0,10,0,AC,0,AC,0,,
5c70539d-ca21-4297-9d06-a566677c1767,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,10,0,8,0,7,2,9,0,9,0,8,0,10,0,AC,0,AC,0,,
e3dac37b-5bec-49fb-934b-66db35cd306d,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,2,9,0,9,0,9,0,9,0,8,0,10,0,AC,0,AC,0,,
341bdeac-6712-426a-a1ed-20c1deea01a3,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,10,0,10,0,9,0,10,0,9,0,9,0,10,0,AC,0,AC,0,,
7ec0ee6e-f20c-4ce5-8ff6-f4493549b798,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,2,6,0,8,0,10,0,8,0,7,2,10,0,AC,0,NA,0,,
