Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,QUÍ,Faltas_QUÍ,LEC,Faltas_LEC,DET,Faltas_DET,IMP,Faltas_IMP,APL,Faltas_APL,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
041d89fc-8dea-42f6-bf06-9c0dd1117f3f,F,No,PUERICULTURA,MATUTINO,5,2,7,2,7,0,8,3,5,8,9,0,7,2,AC,0,NA,0,AC,0,,
4da238da-ee2d-44bb-8d73-2f5574efe988,F,Si,PUERICULTURA,MATUTINO,5,2,,,7,0,,,,,,,,,,,,,,,,
3935d3cb-c905-477c-8041-4f403f44c002,F,No,PUERICULTURA,MATUTINO,6,2,6,1,9,0,7,4,5,10,9,3,9,2,AC,0,AC,0,AC,0,,
39b33bf9-f8d1-4a56-afea-0994ff7a32aa,M,No,PUERICULTURA,MATUTINO,9,2,10,0,8,3,9,0,10,4,10,0,10,0,AC,0,NA,0,AC,0,,
9e18d29e-f864-4fa4-829f-128feb5451fd,F,No,PUERICULTURA,MATUTINO,NP,14,NP,12,NP,20,5,16,NP,36,5,10,5,18,NA,0,NA,0,NA,0,,
bb12d9e7-5cc3-46a5-b4ce-464a0205d2d4,F,No,PUERICULTURA,MATUTINO,10,0,8,0,8,2,8,0,10,1,9,0,10,0,AC,0,AC,0,AC,0,,
caf42a87-7407-4837-9b13-14cb0232a2b9,F,No,PUERICULTURA,MATUTINO,7,6,10,1,6,4,7,0,5,7,10,3,10,4,AC,0,AC,0,AC,0,,
6a63362f-b58c-49cd-8b94-d5c53bdec280,F,No,PUERICULTURA,MATUTINO,6,6,8,2,6,2,8,0,8,6,8,0,9,8,AC,0,AC,0,AC,0,,
fdefc0da-a4d3-4d61-8cf8-7b242a99b44f,F,No,PUERICULTURA,MATUTINO,10,2,9,1,7,5,8,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,,
18fbc08b-01aa-465f-9f6c-931e43dfacc9,F,No,PUERICULTURA,MATUTINO,10,6,8,4,6,5,8,0,9,4,9,3,9,6,AC,0,AC,0,AC,0,,
21f9613d-6b27-447f-9e31-b39d1b37a603,F,No,PUERICULTURA,MATUTINO,8,6,8,3,7,8,8,0,5,12,10,3,9,1,AC,0,AC,0,AC,0,,
