Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,QUÍ,Faltas_QUÍ,LEC,Faltas_LEC,ELA,Faltas_ELA,OPE,Faltas_OPE,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
49d18240-cc2b-4656-a2cd-9074110c75c4,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,4,6,1,5,1,6,0,5,8,5,10,AC,0,AC,0,AC,0,,
fc7b8c86-6e3b-4061-b5fc-ae46ae9bf28a,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,12,5,10,5,12,6,0,6,9,7,2,NA,0,NA,0,AC,0,,
139a1583-214d-4a76-88b4-c1177af03a6e,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,5,6,5,4,,,,,,,,,,,,,,
0d33b0ce-735a-48fd-9e24-24a6a6d39468,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,6,5,2,5,7,6,0,5,4,5,0,AC,0,NA,0,AC,0,,
3b12b397-8e64-4348-aaee-2060248c3640,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,9,5,5,5,11,6,0,5,8,5,7,AC,0,NA,0,AC,0,,
b12574e2-45a8-43c3-b207-58b39e0c1af5,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,10,5,4,5,6,6,0,5,11,5,7,AC,0,NA,0,AC,0,,
17108f80-d67d-4387-b71c-4844591b0a4c,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,10,5,4,5,8,,,5,4,6,7,,,,,,,,
492db88b-d6d9-4f39-b1e0-875276b1711f,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,10,5,7,5,11,6,0,5,16,5,16,NA,0,NA,0,AC,0,,
a134f628-87c9-4e80-aeac-e79b2df09265,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,8,5,3,5,4,6,0,5,9,5,7,AC,0,NA,0,AC,0,,
fab46ce1-958c-46c6-b920-a9e5f5a75d39,F,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,2,6,0,,,,,8,2,,,,,,,,,,
2e775a8e-de50-4bff-a162-0f9d7fadcd7f,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,14,6,3,5,3,6,0,5,7,5,14,AC,0,NA,0,AC,0,,
d14ea4a7-2162-40ef-a95c-5c172c07f6d2,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,,,,,,,5,32,NP,40,,,,,,,,
af61860e-d608-494c-a637-907f5bdeb987,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,8,5,2,6,0,6,0,6,4,7,4,NA,0,NA,0,AC,0,,
0259be47-c1b0-4375-8490-334b8cb6ccf3,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,0,7,1,,,,,7,4,,,,,,,,,,
88683e6c-e7d4-41a5-a3ce-88e37eb0d6f0,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,6,5,4,5,14,6,0,5,10,5,8,NA,0,NA,0,AC,0,,
9d0bebb4-c6da-4768-b459-c794a86023fe,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,6,0,5,5,6,0,6,6,5,9,NA,0,NA,0,AC,0,,
22e5a19a-50ee-449b-9ee1-a64b0bec55cd,F,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,5,3,,,,,,,,,,,,,,,,
f8c1e45b-7863-4aa9-b400-17eac9d6abc8,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,,,5,3,,,,,7,3,7,8,,,,,,,,
0b0fe297-756b-4e98-978c-0d8d7cb039f8,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,4,7,0,5,7,,,7,4,,,,,,,,,,
