Id Unico,Genero,Repetidor,Especialidad,Turno,CÁL,Faltas_CÁL,ING,Faltas_ING,FÍS,Faltas_FÍS,ECO,Faltas_ECO,CON,Faltas_CON,ELA,Faltas_ELA,MAN,Faltas_MAN,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TAL3,Faltas_TAL3,TAL4,Faltas_TAL4,TUT,Faltas_TUT
c1437b8b-bb2a-413f-89e5-6d76d2c02774,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,2,5,2,6,0,8,4,9,0,7,7,9,0,AC,0,AC,0,NA,0,NA,0,AC,0,AC,0,,
852698c4-5af4-4d8e-ac33-abd48f395969,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,1,5,0,5,6,5,6,7,0,10,2,8,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
d2d70476-9456-4532-a67f-ee57d43478e6,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,2,6,0,8,0,5,2,7,0,8,5,7,0,AC,0,AC,0,NA,0,NA,0,AC,0,AC,0,,
af35690b-a6b9-421e-9190-3aadad6d13e3,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,0,9,0,8,0,10,0,8,0,7,0,8,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
ac781422-78e9-4343-ad1b-9a6240a3babf,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,0,8,0,8,0,10,0,6,0,8,2,6,0,AC,0,AC,0,AC,0,NA,0,AC,0,AC,0,,
8e552e13-506d-4b3f-b680-72ca813558fd,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,0,7,0,6,0,6,0,6,0,10,4,6,0,AC,0,AC,0,AC,0,NA,0,AC,0,AC,0,,
52f8e067-ca89-426b-90d1-165fd9f8ae7b,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,10,0,8,0,10,0,10,0,9,0,10,1,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
a1259a60-951b-444d-87a6-36f0bdae6e1b,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,9,3,8,0,10,0,8,2,8,0,8,7,8,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
5b9d07d6-868a-4fc9-b350-addb6d581ba8,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,0,8,0,8,0,5,2,9,0,10,0,9,0,AC,0,AC,0,NA,0,AC,0,AC,0,AC,0,,
030eb28d-9a31-4afe-845e-a2d6a5c4f37e,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,10,0,8,0,9,0,10,0,10,0,7,2,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
526bce43-e837-49e1-9d48-4dff5b539fa1,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,0,10,0,8,2,10,0,9,0,7,2,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
