Id Unico,Genero,Repetidor,Especialidad,Turno,PRO,Faltas_PRO,TEM,Faltas_TEM,INS,Faltas_INS,PRO0,Faltas_PRO0,LIT,Faltas_LIT,TEM0,Faltas_TEM0,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TUT,Faltas_TUT
59c26d89-1b8c-40cf-92be-82e6839a91b8,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,1,10,0,10,1,9,5,10,0,8,3,AC,0,AC,0,,
c42da704-63f3-48aa-8bb2-fd504bffd0bc,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,1,7,0,10,3,6,3,5,2,5,5,AC,0,AC,0,,
1b4b9d66-44b6-4779-b595-f5ec6370b7c9,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,1,9,0,7,5,5,11,9,2,5,0,AC,0,AC,0,,
f1f3e601-f198-4dd1-be1f-a2e2118a62f3,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,3,5,0,8,0,7,4,8,2,5,3,AC,0,AC,0,,
927965d1-3a4a-4ad9-acc9-8dc8233e2f4c,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,3,7,0,6,0,5,5,9,4,5,6,AC,0,AC,0,,
05eec8a9-a9d9-4aeb-b4dc-3eb89e2159fd,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,0,10,0,10,0,10,2,9,0,10,0,AC,0,AC,0,,
c105fa2b-6e91-4371-85b8-b16d071060d1,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,3,6,0,10,7,5,16,7,3,5,9,AC,0,AC,0,,
fb0948b7-1196-4478-b038-5a273048b077,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,7,0,10,0,10,0,9,0,10,2,5,10,AC,0,AC,0,,
28159f7b-6379-411d-8301-6ac1f48d4a43,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,1,10,0,10,2,9,6,10,0,10,2,AC,0,AC,0,,
be779ec0-2122-4811-b530-4b11bf955e74,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,2,8,0,8,2,5,2,9,2,8,2,AC,0,AC,0,,
b4bc9f02-bae8-47d8-87ce-ae51bd9368b9,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,0,10,0,9,0,10,0,9,0,9,0,AC,0,AC,0,,
b82dc803-e618-48d4-a626-82ad13f04780,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,20,NP,15,NP,24,NP,34,,,NP,19,,,,,,
db6a928d-ec9f-46e6-84c6-aaab132fad89,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,1,10,0,10,6,10,0,10,2,8,1,AC,0,AC,0,,
16cf32e7-8975-4c20-9fe9-fc3cdb6041a2,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,,
9d6535fe-18ad-48fa-b7c0-10b98daf088b,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,0,10,0,9,1,9,8,10,0,10,0,AC,0,AC,0,,
91421bee-ad22-4ba8-89c5-b9215b6ee8c5,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,2,9,0,10,9,5,18,7,3,5,6,AC,0,AC,0,,
4553d375-5ebe-4f37-a7a0-8e6b9d39da75,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,,
f30417b3-7f46-4b27-8262-3339bd8448e8,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,1,10,0,10,10,9,0,10,0,9,3,AC,0,AC,0,,
b93b43c9-c3ec-48de-a3e0-f9c67d320238,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,1,10,0,9,5,9,0,10,4,7,1,AC,0,AC,0,,
53553f6a-13a1-4cc2-8654-b27bc65d2788,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,2,9,0,8,3,6,6,6,2,5,4,AC,0,AC,0,,
6103e2ec-da5d-4ba3-bb48-e1fdd69addc4,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,1,9,0,10,7,8,12,8,1,5,4,AC,0,AC,0,,
4c49dc02-9918-4caa-a20b-666e23be91e6,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,0,10,0,10,0,9,2,10,0,8,1,AC,0,AC,0,,
8540fae9-066b-4660-a129-571bdbc986b6,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,0,10,0,10,0,9,0,10,0,9,0,AC,0,AC,0,,
78a7d23c-0b72-4cd5-9664-dc051f0ea72c,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,,
f608450f-2b4c-4e5b-92af-3fbe20b97152,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,0,10,0,10,0,10,1,10,0,10,0,AC,0,AC,0,,
6556f506-cebc-44b2-9770-ea9a91633b59,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,1,9,0,10,0,10,2,9,0,5,2,AC,0,AC,0,,
6ad70b6e-8234-4d79-ba66-73b419095314,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,1,7,0,10,0,8,4,8,0,8,1,AC,0,AC,0,,
5b3b254e-9b74-49a7-9aa7-e5ddbf370860,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,7,1,9,0,10,0,7,3,10,0,6,3,AC,0,AC,0,,
71e4c582-25e2-42cc-bfa8-52274acee249,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,2,8,0,9,3,8,2,9,3,5,6,AC,0,AC,0,,
dd0da3e3-7e55-4520-a570-d661ac8d7f3a,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,,
1d32719a-9bb7-4876-8c7b-772aae763e84,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,10,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,,
