Id Unico,Genero,Repetidor,Especialidad,Turno,PRO,Faltas_PRO,TEM,Faltas_TEM,IMP,Faltas_IMP,AUX,Faltas_AUX,INT,Faltas_INT,TEM0,Faltas_TEM0,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TUT,Faltas_TUT
fa0fc759-510c-44d2-baa5-2619841e28cf,F,No,PUERICULTURA,MATUTINO,10,1,9,0,10,0,9,0,10,0,10,0,AC,0,AC,0,,
469afdbb-9e4b-4931-81d0-d489d5694ce9,F,No,PUERICULTURA,MATUTINO,7,3,5,1,9,2,8,0,7,0,8,0,AC,0,NA,0,,
ee3098c8-9ad7-4804-b0af-069569d20e60,F,No,PUERICULTURA,MATUTINO,9,0,10,0,10,0,9,0,10,0,10,1,AC,0,AC,0,,
5b8cf642-2f63-49a8-8ab5-601144a1abcb,F,No,PUERICULTURA,MATUTINO,10,2,8,0,10,0,9,0,10,0,10,0,AC,0,AC,0,,
93059e36-2b56-4aa9-97b5-8627046212a9,F,No,PUERICULTURA,MATUTINO,9,0,9,1,10,0,10,0,10,0,10,2,AC,0,AC,0,,
b0641061-a06e-472b-8352-c0dad3ce3eb8,F,No,PUERICULTURA,MATUTINO,7,3,7,1,9,0,9,0,8,6,8,3,AC,0,NA,0,,
35f29c8e-112b-45fa-a551-eaa4bb680784,F,No,PUERICULTURA,MATUTINO,8,0,7,0,8,0,8,0,8,0,9,1,AC,0,NA,0,,
0fe7e5bc-a3ee-4b41-ab80-cd7a18aae18f,F,No,PUERICULTURA,MATUTINO,9,0,9,0,10,0,10,0,10,0,10,0,AC,0,AC,0,,
0fc1b412-5b2e-4ea9-843d-34767a0b1690,F,No,PUERICULTURA,MATUTINO,9,4,7,2,10,0,9,0,10,0,10,0,AC,0,AC,0,,
10c2c072-b584-447e-9de2-32c936ba2a31,F,No,PUERICULTURA,MATUTINO,10,0,8,1,10,0,10,0,10,0,10,1,AC,0,AC,0,,
6f4b69e1-00b8-4a4c-8386-ef9bf9effecb,F,No,PUERICULTURA,MATUTINO,5,1,8,0,10,0,9,0,10,0,7,0,AC,0,AC,0,,
