Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,QUÍ,Faltas_QUÍ,LEC,Faltas_LEC,DET,Faltas_DET,INS,Faltas_INS,DIA,Faltas_DIA,IMP,Faltas_IMP,APL,Faltas_APL,ELA,Faltas_ELA,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
9d1d5260-7fcf-4678-aefd-5a4725b8aec7,F,No,PUERICULTURA,MATUTINO,5,0,NP,6,NP,16,8,0,,,5,,5,,,,,,5,,NP,0,NA,0,AC,0,,
d2a5d641-5956-4586-bc8b-f1ad767f9353,F,No,PUERICULTURA,MATUTINO,5,0,5,3,5,2,9,0,5,3,,,,,7,2,9,4,,,AC,0,AC,0,AC,0,,
745576e8-e47a-4392-aadb-bfd5713d5bdf,F,No,PUERICULTURA,MATUTINO,6,0,10,0,10,0,8,0,9,0,,,,,10,0,10,0,,,AC,0,AC,0,AC,0,,
c5fcb3da-9bf0-4a5e-8849-3436ad276b5e,F,No,PUERICULTURA,MATUTINO,5,0,8,0,8,0,8,0,8,0,,,,,8,0,9,2,,,AC,0,NA,0,NA,0,,
11879df6-2f92-4c28-9652-589160ec1c72,F,No,PUERICULTURA,MATUTINO,5,0,7,0,8,0,8,0,7,1,,,,,7,0,10,0,,,NA,0,AC,0,AC,0,,
9a2d6ced-80e1-4d90-b522-721f3182fca9,F,No,PUERICULTURA,MATUTINO,6,0,10,0,10,0,8,0,8,0,,,,,10,0,10,0,,,AC,0,NA,0,AC,0,,
4c74516d-0662-4d39-b59a-33f190ee19c0,F,No,PUERICULTURA,MATUTINO,5,0,5,2,5,2,8,0,7,1,,,,,5,1,9,0,,,NA,0,NA,0,AC,0,,
18da4938-d457-4aa9-b40c-e4adda8707e3,F,No,PUERICULTURA,MATUTINO,6,0,8,0,9,0,8,0,6,2,,,,,9,0,10,0,,,AC,0,AC,0,AC,0,,
78bfa633-4078-433f-910c-07df87c2d842,F,No,PUERICULTURA,MATUTINO,7,0,7,0,6,0,8,0,10,0,,,,,9,0,9,5,,,AC,0,AC,0,NA,0,,
7d4aac90-4499-41c3-a989-0c2b65c08dda,F,Si,PUERICULTURA,MATUTINO,5,0,,,8,1,9,0,9,0,,,,,10,0,9,1,,,,,,,,,,
cba868ea-ca35-431c-bb24-25356e3812b9,M,No,PUERICULTURA,MATUTINO,5,0,7,1,5,0,10,0,5,3,,,,,6,1,8,6,,,NA,0,NA,0,AC,0,,
e7b06200-2ee2-4960-8579-63d313aa554a,F,Si,PUERICULTURA,MATUTINO,5,0,NP,6,NP,16,,,,,,,,,,,,,,,,,,,,,,
c963d894-52bc-475c-bc26-7dcfa167b041,F,No,PUERICULTURA,MATUTINO,6,0,10,0,10,0,8,0,9,0,,,,,10,0,10,0,,,AC,0,AC,0,AC,0,,
