Id Unico,Genero,Repetidor,Especialidad,Turno,PRO,Faltas_PRO,TEM,Faltas_TEM,INS,Faltas_INS,PRO0,Faltas_PRO0,LIT,Faltas_LIT,TEM0,Faltas_TEM0,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TUT,Faltas_TUT
f637f4ce-2010-40f7-94fe-634621702262,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,0,7,2,9,1,7,0,10,0,10,0,AC,0,AC,0,,
f1fc65d7-1c22-4880-b1c1-d631de10707c,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,0,5,2,8,5,5,0,8,1,9,0,AC,0,NA,0,,
a1e9331e-73e9-4746-9a08-86ab198cbad6,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,0,9,0,10,0,7,0,9,0,10,0,AC,0,AC,0,,
70a3ddc1-9429-4d9c-8fee-7671b263bcce,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,4,7,1,10,6,8,0,8,1,9,0,AC,0,AC,0,,
e03268ca-cca1-436c-835b-393dd33c161c,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,3,5,2,10,2,9,0,9,0,9,0,AC,0,AC,0,,
eb028508-15e1-408c-b866-4d2dd1bcf272,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,1,5,2,10,2,6,0,10,0,9,0,AC,0,AC,0,,
23ecfe2f-232f-4a38-b317-0bbd24e4c077,F,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,3,5,5,8,0,8,0,9,0,10,0,,,,,,
373142e2-5d26-4dd6-8262-e09cb6033bf5,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,2,5,1,10,0,7,0,10,0,10,0,AC,0,NA,0,,
e290d347-4c8b-4e7e-9630-5c167e50f750,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,9,0,6,2,10,0,9,0,8,1,10,0,AC,0,AC,0,,
97d0536c-2b40-4026-9a6b-a08061f4121d,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,7,3,5,2,9,3,5,0,8,1,9,0,AC,0,AC,0,,
2b746ac3-06ef-4973-b3da-f3bc9c7109d9,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,7,0,6,4,10,1,6,0,9,0,10,0,AC,0,AC,0,,
a53eca22-7fca-4893-89da-031b0cf3576e,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,6,7,7,4,9,0,7,0,9,0,10,0,AC,0,AC,0,,
caae90ca-f553-4f3c-ab59-0e7edfb527e5,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,9,0,7,1,10,0,9,0,10,0,10,0,AC,0,AC,0,,
939d5627-455e-4d4a-af3d-1ce168dca15f,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,7,3,7,2,6,3,7,0,9,0,10,0,AC,0,AC,0,,
2c88f992-1fb3-4cce-aa37-02e3f4446042,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,7,0,5,1,10,3,7,0,10,0,10,0,AC,0,NA,0,,
9bdefb65-0cce-40db-ab2b-9115a9d28363,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,3,7,3,9,2,7,0,9,0,10,0,AC,0,AC,0,,
1a70b6c7-efac-4f0d-978d-a52e38becc30,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,4,9,1,9,3,8,0,9,0,10,0,AC,0,AC,0,,
767137cf-c577-460b-9f2d-e14d018d2f0d,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,9,3,5,1,10,3,6,0,10,0,10,0,AC,0,AC,0,,
fbc528c3-586e-4afd-a3ea-79cd8fb295d9,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,3,6,4,10,1,6,0,9,0,10,0,AC,0,AC,0,,
d591248f-e8ee-47c2-81f4-58065f12e6d3,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,NP,20,NP,18,NP,18,NP,18,5,3,9,0,AC,0,NP,0,,
a7778666-28ae-4d5c-a564-cfc2a19f6457,F,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,9,1,9,2,10,1,7,0,10,0,10,0,AC,0,AC,0,,
0f434f5c-c684-4893-9683-d57a0d646431,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,3,6,2,10,2,7,0,10,0,10,0,AC,0,AC,0,,
b86fb3f5-6c20-4a92-8b6a-bdff3dfefdee,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,0,6,1,10,0,7,0,9,0,10,0,AC,0,AC,0,,
1fc0498b-cd57-4763-b492-db4a6aab83fa,M,Si,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,0,,,,,,,,,,,,,,,,
34f6f0f4-0553-4e30-af9c-8a4dae03d5dc,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,7,1,7,2,10,2,7,0,9,0,10,0,AC,0,AC,0,,
2bd73c0b-f947-405d-b48d-c4dc79698bf4,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,5,0,6,2,6,4,5,0,9,0,10,0,AC,0,NA,0,,
bc6e65b9-d1e3-4e89-8a9f-66c9f9589fee,M,No,INSTRUMENTACION INDUSTRIAL,MATUTINO,8,0,7,2,10,1,9,0,8,0,10,0,AC,0,AC,0,,
