Id Unico,Genero,Repetidor,Especialidad,Turno,CÁL,Faltas_CÁL,ING,Faltas_ING,FÍS,Faltas_FÍS,ECO,Faltas_ECO,APL,Faltas_APL,EVA,Faltas_EVA,DIR,Faltas_DIR,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TAL3,Faltas_TAL3,TAL4,Faltas_TAL4,TUT,Faltas_TUT
07b3c76d-85a8-415b-b7bc-2edfcba6b88c,F,No,PUERICULTURA,MATUTINO,6,1,5,2,9,0,10,3,6,6,9,0,9,2,AC,0,NA,0,AC,0,AC,0,NA,0,NA,0,,
6155e3d2-0fe4-48ab-ad31-025407466ef5,F,No,PUERICULTURA,MATUTINO,5,0,7,1,9,0,10,0,10,0,9,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
b16962c1-2647-46d2-885e-4a66879820b2,F,No,PUERICULTURA,MATUTINO,8,0,8,0,10,0,10,0,10,2,10,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
1a783efb-0a1b-459d-8f3a-e2454bbaca00,F,No,PUERICULTURA,MATUTINO,5,0,6,0,8,0,10,2,8,4,6,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,NA,0,,
1092f9d5-5010-459e-b336-3bf5544ef40d,F,No,PUERICULTURA,MATUTINO,9,0,9,0,10,0,10,1,6,0,7,0,9,0,AC,0,NA,0,AC,0,AC,0,AC,0,AC,0,,
c7e55e11-7e6f-4f6f-9b66-ce66104b5444,F,No,PUERICULTURA,MATUTINO,5,0,6,0,8,0,10,0,8,2,8,0,10,0,AC,0,NA,0,AC,0,AC,0,AC,0,AC,0,,
3e29d408-2075-4f8f-8d4d-93c8141757b8,F,No,PUERICULTURA,MATUTINO,6,0,5,2,9,0,10,4,9,8,9,1,9,0,AC,0,NA,0,AC,0,AC,0,AC,0,AC,0,,
082339cb-d2f0-4f60-8974-dc565f69cfda,F,No,PUERICULTURA,MATUTINO,6,0,8,0,8,0,9,1,10,2,10,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
17520f70-4586-4a54-b2fe-4f7e1a1d974d,F,No,PUERICULTURA,MATUTINO,5,0,5,2,7,0,8,4,8,6,6,0,8,2,AC,0,NA,0,AC,0,AC,0,AC,0,AC,0,,
9e22fc0c-4901-41fe-91b4-d349ea591443,F,No,PUERICULTURA,MATUTINO,6,0,8,0,9,0,10,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
