Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,QUÍ,Faltas_QUÍ,LEC,Faltas_LEC,INS,Faltas_INS,DIA,Faltas_DIA,ELA,Faltas_ELA,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
eb11fd0b-e111-4681-ba32-414b7c0b0228,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,2,8,3,6,0,7,4,9,0,7,0,8,1,AC,0,NA,0,AC,0,,
1fd2bc10-1391-48d1-9737-08ecb3da120d,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,0,8,3,6,0,9,0,8,2,7,3,9,1,AC,0,AC,0,AC,0,,
a1f42a17-d4e2-4875-812a-b0c8ba8d662f,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,6,6,1,5,0,5,3,7,2,5,5,5,5,AC,0,NA,0,AC,0,,
a123d852-ab2f-4bf8-803b-3eca9ca1dfde,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,1,8,3,5,0,8,4,5,0,7,7,7,3,AC,0,NA,0,AC,0,,
b6d2f12e-6b08-4b11-a293-3cd8abd525a0,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,8,0,6,3,7,0,8,1,9,0,9,0,10,3,AC,0,AC,0,AC,0,,
0666d0c9-d159-4400-a448-2dec056f565c,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,9,0,8,0,5,0,9,1,9,0,7,2,10,1,AC,0,NA,0,AC,0,,
ce3cecea-738f-402e-ba14-0a5020909e9e,M,Si,PRODUCCIÓN INDUSTRIAL,MATUTINO,,,6,2,,,,,,,,,,,,,,,,,,
304c2565-a67d-4cb7-ae08-f116d126ba38,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,2,8,2,9,0,8,1,9,0,10,2,9,1,AC,0,AC,0,AC,0,,
1f70554d-0400-4e30-b781-e268d68660d8,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,0,9,1,5,0,8,0,10,2,10,4,9,1,AC,0,NA,0,AC,0,,
62f2e839-0089-4c48-8db3-b0d8d4ebb20a,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,4,9,3,5,2,5,5,5,1,6,0,5,5,AC,0,NA,0,AC,0,,
7cdd089e-c5c2-4f1f-812f-f135dea030cd,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,3,5,3,6,0,5,2,5,0,5,4,5,1,AC,0,NA,0,AC,0,,
598701e9-232e-4bcd-b1ab-f8c906301814,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,2,6,3,6,0,7,4,5,4,7,7,10,1,AC,0,NA,0,AC,0,,
