Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,BIO,Faltas_BIO,ETI,Faltas_ETI,MID,Faltas_MID,MEJ,Faltas_MEJ,OPT,Faltas_OPT,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
26f91917-a6c0-4684-a1a0-588682fd6253,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,7,9,0,7,1,7,3,10,0,5,6,5,6,NA,0,NA,0,NA,0,NA,0,,
0003066f-409f-409d-bc18-43ecfb9eefa8,F,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,9,0,10,1,9,0,10,0,10,0,10,4,10,2,AC,0,AC,0,AC,0,AC,0,,
8e4d9414-0771-4203-88af-718981c545d9,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,2,6,2,5,2,7,6,10,0,7,4,8,0,AC,0,AC,0,NA,0,AC,0,,
f36a0bee-90ca-419e-915d-582ffdc91192,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,2,6,1,5,2,5,3,10,0,7,6,5,0,NA,0,AC,0,NA,0,NA,0,,
28bdc1f4-7fec-47dc-b8cd-071450ebe2ab,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,3,6,0,9,0,8,0,9,0,8,0,9,4,NA,0,AC,0,NA,0,AC,0,,
7fc8a892-7ead-4500-916b-b01a98cfe073,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,6,5,10,1,8,0,9,0,10,0,8,3,9,4,AC,0,AC,0,NA,0,AC,0,,
fef8bb74-593b-4541-a0e7-f4c6484f9c45,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,7,1,6,3,5,4,5,0,10,0,8,0,10,0,NA,0,AC,0,NA,0,AC,0,,
1c8e6604-7fae-451d-8e50-5aafbf63dd82,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,8,5,5,5,7,5,4,10,0,NP,24,5,12,NA,0,NA,0,NA,0,NA,0,,
fb2d5551-b217-4ee1-87e3-ef1954704831,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,5,0,5,0,5,0,5,0,5,0,5,0,5,0,,0,,0,,0,,0,,
822ae2ae-ba2c-4e40-a7ae-45bd4a5a7bff,M,No,PRODUCCIÓN INDUSTRIAL,MATUTINO,NP,20,5,7,5,13,NP,16,NP,20,NP,24,NP,30,NA,0,NA,0,NA,0,NA,0,,
